supplier_key,date_quarter,count(item_quantity)
11,3,1
109,2,1
109,3,1
323,3,2
384,3,3
673,3,1
678,3,3
737,3,1
983,3,6
1052,3,10
1082,2,245
1082,3,274
1199,3,1
1297,3,1
1367,3,22
1406,4,4
1629,2,170
1629,3,103
1815,3,3
1940,3,6
1940,4,1
2095,3,3
2095,4,19
2157,2,353
2157,3,532
2193,3,21
2647,2,3
2647,3,7
2649,2,2
2649,3,7
2753,3,1
2887,2,146
2887,3,128
3149,2,446
3149,3,478
3149,4,22
3537,2,99
3537,3,176
3865,2,14
3865,3,15
4096,3,1
4150,2,2
4150,3,2
4240,3,4
4352,3,3
4404,3,1
4654,3,1
4721,3,2
4787,2,2
4859,2,4
4859,3,16
4866,3,2
4905,3,1
5068,3,3
5166,3,14
5178,2,19
5178,3,38
5439,3,16
5603,3,1
5711,3,1
5744,3,1
5822,3,1
5838,3,20
6255,2,472
6255,3,594
7431,3,3
8435,3,6
9231,3,6
9534,2,50
9534,3,115
9950,3,1
